combined_tagalog,english,difficulty,similarity_score,source
¡Hindî namin nalalaman!,We don't know how!,Easy,0.902,Noli Me Tangere
¡Ang waláng hiyâ!,The shameless one!,Easy,0.9006,Noli Me Tangere
"¡Mabuti, binatà!","Good enough, young man!",Easy,0.9005,El Filibusterismo
"""At n~gayóng benebendita ang unang bató nitóng lubháng macahulugang bahay, camí, Alcalde Mayor nitóng lalawigan, sa pan~galan n~g dakilang Harì, na in~gatan nawá n~g Dios, n~g Harì sa mga España, sa pan~galan n~g maluningning na Pamahalaang castílà at sa ilalim n~g pagtatangkilik n~g canyáng waláng bahid at cailán ma'y mapagdiwang na bandera, binibigyan namin n~g dakilang cahulugan ang guinawang itó at sinimulaan namin ang paggawâ n~g escuelahang itó.""","""And now that the first stone of this important edifice is consecrated, We, alcalde-mayor of this province, in the name of his Majesty the King, whom God preserve, King of the Spains, in the name of the illustrious Spanish government and under the protection of its spotless and ever-victorious banner, We consecrate this act and begin the construction of this schoolhouse!",Hard,0.8994,Noli Me Tangere
¡Jesús!,_Jesús!_,Easy,0.8994,Noli Me Tangere
¿Anó ang kahulugán ng̃ ng̃itîng iyon?,What did that smile mean?,Easy,0.8994,El Filibusterismo
"Lumapit sa akin n~gayóng hapon ang isáng babae, na hindi co dapat sabihin ang pan~galan (sa pagcá't isang lihim n~g confesió) at ipinahayag sa aking lahát.",This afternoon a woman whose name I can't reveal (it's a secret of the confessional) came to me and told everything.,Hard,0.899,Noli Me Tangere
Ng̃unì't ang kaniyáng mg̃a sugat ay ¿saan nagbuhat?,But whence came his wounds?,Medium,0.8985,El Filibusterismo
Tinangnán siyá n~g matandáng lalaki sa bísig at saca siya dinalá sa bintanà.,The old man took him by the arm and led him to the window.,Medium,0.8984,Noli Me Tangere
"¿Nang̃ing̃iníg, natatakot kayóng magsabog ng̃ kamatayan?","Do you tremble, do you fear to scatter death?",Easy,0.8981,El Filibusterismo
"Doon sa may pang̃anib, doon tayo dapat pumaroon, sapagkâ't doon nároon ang karang̃alan!","There where the danger is, there must we hasten, because honor is there!",Medium,0.897,El Filibusterismo
¿Nakikita mo ba ang ilaw na iyón na convento?,Do you see that light in the convento?,Medium,0.8968,Noli Me Tangere
Hindî mangyayaring maisaysay cung anó ang dinamdám n~g canyáng pusó: nalimutan niyá ang lahát.,It would be impossible to tell what her heart felt: she forgot everything.,Medium,0.8967,Noli Me Tangere
"""Nagsalitâ siyâ n~g latin bago mamatáy, ¡bagá man dating hindî murunong n~g latin!","""Before dying he spoke in Latin, without knowing Latin!",Medium,0.896,Noli Me Tangere
Iyán ang ilaw ng̃ kamatayan!,It's the light of death!,Easy,0.896,El Filibusterismo
"N~g macatapos n~g macainom n~g chocolate, napilitan ang ating mga cabataang pakingan ang pianong tinutugtog n~g organista n~g bayan.",After drinking the chocolate our young people had to listen to piano-playing by the town organist.,Hard,0.8959,Noli Me Tangere
At mayroon kamíng isáng bahay na malapit doon.,And we have a house near there!,Easy,0.8931,El Filibusterismo
¿ano ang magagawa n~g bayan?,What can the people do?,Easy,0.8924,Noli Me Tangere
¡il faut m'respecter! 'suis ici l'Pape!,Il faut m'respecter!,Easy,0.8904,El Filibusterismo
Kinibít ni Basilio ang kaniyáng balikat.,Basilio shrugged his shoulders.,Easy,0.8885,El Filibusterismo
"Isáng brillante ang kumíkindát sa kaniyá mulá sa ping̃ol ng̃ muntîng taing̃a, na warì'y bituín sa gitnâ ng̃ mg̃a pinilakang ulap.","A diamond winked at him from the lobe of the little ear, like a star among silvery clouds.",Hard,0.8882,El Filibusterismo
"Dátapwâ't si Simoun ay mulîng nang̃ilabot; warìng nakita sa kaniyáng harapán ang mabagsík na mukhâ ng̃ kaniyáng amá, na namatáy sa bilanggùan, ng̃unì't namatáy dahil sa paggawâ ng̃ mabuti, at ang mukhâ ng̃ isá pang lalaki na lalò pang mabagsík, ng̃ isáng lalaking nagdulot ng̃ buhay ng̃ dahil sa kaniya, dahil sa inaakalàng kaniyáng hahanapin ang ikabubuti ng̃ kaniyáng bayan.","But again Simoun shivered; he seemed to see before him the severe countenance of his father, dying in prison, but dying for having done good; then the face of another man, severer still, who had given his life for him because he believed that he was going to bring about the regeneration of his country.",Hard,0.8878,El Filibusterismo
¿Paano?,How's that?,Easy,0.8875,Noli Me Tangere
Nagtakip n~g mga tain~ga si María Clara.,Maria Clara covered her ears.,Medium,0.8874,Noli Me Tangere
"Ang mg̃a pang̃alan ninyó'y Luis Habaña, Matias Belarmino, Nicasio Eigasani, Cayetano de Jesús, Mateo Elejorde, Leandro López, Antonino López, Silvestre Ubaldo, Manuel Hidalgo, Paciano Mercado, kayó ang boong bayan ng̃ Kalambâ!....","You are called Luis Habaña, Matías Belarmino, Nicasio Eigasani, Cayetano de Jesús, Mateo Elejorde, Leandro Lopez, Antonino Lopez, Silvestre Ubaldo, Manuel Hidalgo, Paciano Mercado, your name is the whole village of Kalamba.",Hard,0.8862,El Filibusterismo
"Ang kaniyáng mg̃a pisng̃í'y hukáy, walâng ayos ang bihis, gusót ang buhók.","His cheeks were hollow, his hair unkempt, his clothing disordered.",Medium,0.8852,El Filibusterismo
"_¡De nobis post hæc, tristis sententia fertur!_","De nobis, post haec, tristis sententia fertur!",Medium,0.8846,El Filibusterismo
"Tunay n~ga't walâ sino mang lumalacad sa daan, n~guni't ¿ang hán~gin at ang liwánag n~g áraw?","No one indeed was coming along the road, but how about the air and the light of day?",Hard,0.8843,Noli Me Tangere
¡Mamayâ na! mamayâ na!,"Later on, later on!",Easy,0.8833,El Filibusterismo
"Tungkol namán sa pananampalataya ay ipinagmámalakí ang kaniyáng pagkakatóliko, lubós na katóliko, ¡á! ang katólikang España, ang lupàín ni María Santísima!....","In regard to his religious ideas, he prided himself on being a Catholic, very much a Catholic - ah, Catholic Spain, the land of María Santísima!",Hard,0.8833,El Filibusterismo
"Maraming dumaló sa kaniyáng pistá: mg̃a prayle, mg̃a kawaní, mg̃a militar, mg̃a mang̃ang̃alakal, lahát ng̃ kaniyáng mg̃a sukì, mg̃a kasamá ó mg̃a ninong, ay pawàng nang̃aroroon; ang kaniyáng tindahan ay siyáng kinukunan ng̃ lahát ng̃ kailang̃an ng̃ mg̃a kura at ng̃ mg̃a kombento, tumatanggáp ng̃ _vale_ ng̃ lahát ng̃ kawaní, mayroon siyáng matatapát na alagád na masunurin at masisipag.","His feast was well attended: friars, government employees, soldiers, merchants, all of them his customers, partners or patrons, were to be seen there, for his store supplied the curates and the conventos with all their necessities, he accepted the chits of all the employees, and he had servants who were discreet, prompt, and complaisant.",Hard,0.8827,El Filibusterismo
Hindi na mulíng lumabás ang alin man sa mga dalaga.,None of the girls had reappeared.,Medium,0.8827,Noli Me Tangere
¡Si María Clara ay namatáy na!,"""Maria Clara is dead!""",Easy,0.8826,El Filibusterismo
"¡Mabuhay ang Religión católica!"" --¡Mabuhay!","Long live the Catholic Religion!""",Easy,0.8824,Noli Me Tangere
"Pakinggán pô ninyó, nánay, ang aking náisip.","""Listen, mother, to what I've been thinking about.",Easy,0.8821,Noli Me Tangere
¿At ang salápi?,"And the money?""",Easy,0.8817,Noli Me Tangere
Muling humìntóng sandali ang matandáng Teniente.,Again the old lieutenant paused.,Easy,0.8809,Noli Me Tangere
Nagdamdam cahihiyan si Maria Clara.,Maria Clara blushed.,Easy,0.8805,Noli Me Tangere
"Bago kitá mákilala, ang dagat na iyon ay siyáng aking mundó, aking lugód, aking pag-ibig, aking mg̃a pang̃arap.","Before knowing you, that sea was for me my world, my delight, my love, my dream!",Hard,0.8802,El Filibusterismo
Inihandâ ko na ang lahát at hindî mahahadlang̃án ang aking tagumpáy.,I have everything ready and my success is assured.,Medium,0.8796,El Filibusterismo
"¡Sargento, magtatág cayó n~g bantáy!","Sergeant, mount the guard!",Easy,0.8793,Noli Me Tangere
¿N~guni't?--ang tanóng ni capitang Basilio.,"""But what?"" asked Capitan Basilio.",Easy,0.8792,Noli Me Tangere
N~guni't ¿bakit?,But why?,Easy,0.8791,Noli Me Tangere
Ang wikà ay siyáng pag-iísip ng̃ bayan.,Language is the thought of the peoples.,Easy,0.879,El Filibusterismo
"Nakikitang pagalàgalà ang kaniyáng amá, dayukdók, walâng tigil ni pahing̃á; nakikitang si Basilio ay naghihing̃alô sa gitnâ ng̃ daan, may tamâ ng̃ dalawáng punglô, gaya ng̃ pagkakita niyá sa bangkáy ng̃ isáng kalapít-bahay na pinatáy samantalàng iniháhatíd ng̃ guardia sibil.","She saw her father wandering about hungry, without rest or repose; she saw Basilio dying in the road, pierced by two bullets, just as she had seen the corpse of that neighbor who had been killed while in the charge of the Civil Guard.",Hard,0.8789,El Filibusterismo
"Isáng prayle ang sa inyó'y nagbíbinyág, nagkukumpíl, dumadalaw ng̃ lubhâng masuyò sa páaralán; isáng prayle ang dumíding̃íg ng̃ mg̃a una ninyóng lihim, siyá ang una unang nagpapakain sa inyó ng̃ isáng Dios, ang nagtuturò sa inyó ng̃ landás ng̃ kabuhayan; mg̃a prayle ang una at hulíng gurô ninyó, prayle ang nagbúbukás ng̃ pusò ng̃ inyóng mg̃a magiging asawa, na inilalaan sa inyóng mg̃a suyò; isáng prayle ang nagkákasál sa inyó, ang nag-uutos na kayó'y maglakbáy sa ibá't ibáng pulô, na binibigyán kayóng daán upang makapagbago ng̃ sing̃áw at libang̃an; siyá ang naglilingkód sa inyó kung kayó'y naghíhing̃alô at kahì't umakyát kayó sa bibitayán, ay naroroón din ang prayle upang kayó'y samahan ng̃ kaniyáng mg̃a dasál at luhà, at makapapanatag kayóng hindî kayó iiwan hanggáng hindî makitang kayó'y sadyâng patáy na patáy na at bitáy na bitáy.","A friar baptized you, confirmed you, visited you in school with loving zeal; a friar heard your first secret; he was the first to bring you into communion with God, to set your feet upon the pathway of life; friars were your first and friars will be your last teachers; a friar it is who opens the hearts of your sweethearts, disposing them to heed your sighs; a friar marries you, makes you travel over different islands to afford you changes of climate and diversion; he will attend your death-bed, and even though you mount the scaffold, there will the friar be to accompany you with his prayers and tears, and you may rest assured that he will not desert you until he sees you thoroughly dead.",Hard,0.8786,El Filibusterismo
Ng̃unì't ng̃ ikatlóng araw ay mulîng lumabás na dalá ang kaniyáng baríl.,But on the third day he again sallied forth with his shotgun.,Medium,0.8786,El Filibusterismo
¿Anó ang magagawâ natin?,What are we going to do?,Easy,0.8783,El Filibusterismo
"¿Nákikita mo ang ilaw na putîng iyán, maliwanag, na warìng ilaw eléktriko, na nanggagaling sa _azotea_?","Do you see that white, clear light, like an electric lamp, shining from the azotea?",Medium,0.8782,El Filibusterismo
¿Anó ang sakít ng̃ kamatayan?,What is the pain of death?,Easy,0.8781,El Filibusterismo
¿Anó ang himalà?,What is a miracle?,Easy,0.878,Noli Me Tangere
Tinugtóg n~g sandalíng iyón n~g relós sa bahay ang á las ocho.,At that moment a clock in the house struck eight.,Medium,0.8777,Noli Me Tangere
"¡Sumísin~gil n~g maraming salapî ang doctor; silá'y sinásamba n~g maysakít, cumare! --¡Magnilaynilay cayó!","The doctor makes lots of money, the sick people worship him, cumare!""",Medium,0.8774,Noli Me Tangere
"""_Si tripa plena laudat Deum, tripa famelica laudabit fratres_; kung ang bitukang bundát ay nagpupuri sa Dios, ang bitukang dayukdók ay magpupuri sa mg̃a prayle.","""Si tripa plena laudal Deum, tripa famelica laudabit fratres - if the full stomach praises God, the hungry stomach will praise the friars.",Hard,0.8772,El Filibusterismo
¡Kyrie eleyson!_,"_Kyrie eleyson!_""",Easy,0.8771,Noli Me Tangere
"At gayón ng̃â marahil, sapagkâ't ginigising siláng maaga, linilinis, binibihisan at isinusuót sa kanilá ang lahát ng̃ kagayakang bago, mahal at mainam na mayroon silá, mg̃a sapatos na sutlâ, malalakí't malalapad na sombrero, damít na lana, sutlâ ó tersiopelo, kasama ang apat ó limáng maliliít na kalmen na may daláng ebanhelio ni San Juán, at matapos na matagláy ang lahát ng̃ yaón ay dinadalá silá sa _misa mayor_ na kulángkuláng sa isáng oras ang habà, pinagtitiís silá ng̃ init at sing̃áw ng̃ maraming taong nagkakasiksikan at nagpapawís, at kung hindî man silá pinagdadasál ng̃ rosario ay kailang̃an namán nilá ang huwag maglilikót, mayamót ó mákatulog.","They are roused early, washed, dressed, and decked out with everything new, dear, and precious that they possess - high silk shoes, big hats, woolen or velvet suits, without overlooking four or five scapularies, which contain texts from St. John, and thus burdened they are carried to the high mass, where for almost an hour they are subjected to the heat and the human smells from so many crowding, perspiring people, and if they are not made to recite the rosary they must remain quiet, bored, or asleep.",Hard,0.8768,El Filibusterismo
Ang mg̃a sundalo'y humintô at tuming̃ín sa kaniláng paligid.,The soldiers stopped and stared about them.,Medium,0.8764,El Filibusterismo
"""¡M~ga taga San Diego!","""People of San Diego!",Easy,0.8749,Noli Me Tangere
"May katwiran kayó, at naparito akó ng̃ayón upang sabihin sa inyó, na: bigyán ng̃ sandata ang aking kamáy at bumugá na ang himagsikan!",You are right and now I've come to say to you: put a weapon in my hand and let the revolution come!,Hard,0.8743,El Filibusterismo
"Naramdamán ni Basilio na ang kaniyáng pusò'y tumítibók ng̃ mahinàngmahinà, na ang kaniyáng mg̃a paá't kamáy ay nanglálamíg at ang maitím na anino ng̃ mag-aalahás ay nagkákaroón ng̃ anyông nakapang̃ing̃ilabot na nalilibid ng̃ lagábláb.","Basilio felt his heart beat fainter, his feet and hands turn cold, while the black silhouette of the jeweler assumed fantastic shapes enveloped in flames.",Hard,0.8742,El Filibusterismo
"Nang mga nagdaáng áraw ay dumatíng sa báhay na tinatahanan ni María Clara at ni tía Isabel ang maraming caja n~g mga cacánin at mga inumíng gáling Europa, mga salaming pagcálalaki, mga cuadro at ang piano n~g dalaga.","Some days before there had arrived at the house where Maria Clara and Aunt Isabel were staying a profusion of eases of European wines and food-stuffs, colossal mirrors, paintings, and Maria Clara's piano.",Hard,0.874,Noli Me Tangere
"Sa pagcá't sino ma'y waláng nan~gasiwà upang maalaman cung sinosino ang mga caawâawang namatáy sa gayóng capahamacán; at cung canicanino ang mga hìta at mga camáy na sumabog sa pulô n~g Convalecencia at sa mga pampáng n~g ilog, lubós na hindi nalalaman namin cung napasama ó hindi sa nan~gamatáy na iyón ang alin man sa mga cakilala n~g mga mambabasa sa amin.","Since no one bothered himself to learn who the unfortunates were that perished in that catastrophe or to whom belonged the legs and arms left neglected on Convalescence Island and the banks of the river, we have no idea whether any acquaintance of our readers was among them or not.",Hard,0.8736,Noli Me Tangere
"Ang kaniyáng anák na si Tales (palayaw ng̃ Telesforo) ay nakisamá muna sa isáng namumuhunan; ng̃unì't ng̃ malaunan, ng̃ magkaroon ng̃ dalawáng kalabáw at mg̃a iláng daáng piso, ay gumawâ na sa sarili, na katulong ang kaniyáng amá, ang kaniyáng asawa at ang kaniyáng tatlóng anák.","His son Tales (abbreviation of Telesforo) had worked at first on shares on the lands of a capitalist, but later, having become the owner of two carabaos and several hundred pesos, determined to work on his own account, aided by his father, his wife, and his three children.",Hard,0.8727,El Filibusterismo
"Si kapitáng Basilio ay dumatíng na kasama ang kaniyáng asawa, ang kaniyáng anák na si Sinang at ang kaniyáng manugang, na nang̃ahahandâng gumugol ng̃ hindî bábabâ sa tatlóng libong piso.","Capitan Basilio came with his wife, daughter, and son-in-law, prepared to spend at least three thousand pesos.",Hard,0.872,El Filibusterismo
Hindî akó ang pamahalàan at hindî ko masasagután ang kaniyáng mg̃a kilos.,"""I'm not the government and I can't answer for its acts.",Medium,0.8717,El Filibusterismo
"libong pagbubulay na walâng linaw ang sumísipót sa kaniyang alaala, na warì'y malalayòng ulinigníg ng̃ tugtugang nádiding̃íg sa kinágabihán, warì'y himig ng̃ isáng awit ng̃ panahón ng̃ kabatàan niya, aling̃awng̃áw ng̃ ulilang kagubatan at mapapangláw na batisan, mg̃a gabíng may buwan sa tabí ng̃ dagat na nalalatag ng̃ boong kalaparan sa haráp ng̃ kaniyáng paning̃ín....","A thousand vague recollections surged into his memory like distant echoes of music heard in the night, like songs of infancy, the murmur of lonely forests and gloomy rivulets, moonlit nights on the shore of the sea spread wide before his eyes.",Hard,0.8712,El Filibusterismo
"Subalì't samantalang ang bayang pilipino ay walâ pang sapát na katigasang loób upang ipahayag, na mataás ang noo at lantád ang dibdib, ang kaniyáng karapatán sa pamamayan at patibayan itó sa pamagitan ng̃ mg̃a paghihirap, ng̃ kaniyáng sariling dugô; samantalang nákikita natin ang ating mg̃a kababayan, sa kaniláng sariling pamumuhay ay magdamdám hiyâ sa sariling kaloobán, máding̃íg ang sigáw ng̃ kaniyáng budhî na nagbabalikwás at tumútutol, at sa lantarang pamumuhay ay hindî umímík, makisama sa pumápasláng upang kutyaín ang pinasláng; samantalang nákikita nating naninirahan sa labis na pagling̃ap sa sarili at pinupuri sa tulong ng̃ pilít na ng̃ití ang lalòng mahahalay na kagagawán, at nagmamakaawàng hiníhing̃î, sa pamagitan ng̃ ting̃ín, ang isáng bahagi ng̃ nápalâ ¿anó't bibigyán silá ng̃ kalayàan?","So, while the Filipino people has not sufficient energy to proclaim, with head erect and bosom bared, its rights to social life, and to guarantee it with its sacrifices, with its own blood; while we see our countrymen in private life ashamed within themselves, hear the voice of conscience roar in rebellion and protest, yet in public life keep silence or even echo the words of him who abuses them in order to mock the abused; while we see them wrap themselves up in their egotism and with a forced smile praise the most iniquitous actions, begging with their eyes a portion of the booty - why grant them liberty?",Hard,0.8711,El Filibusterismo
¿Hindi mo ba nakikita si Elías?,"""Haven't you seen Elias?""",Easy,0.8707,Noli Me Tangere
"Ipinagtanóng naming macailan siyá sa iláng taong may malalaking capangyarihan sa santo convento n~g Santa Clara, n~guni't sino ma'y waláng nag-ibig magsabi sa amin n~g isá man lamang salità, cahi't ang mga masalitang madasaling tumátanggap n~g bantóg na fritada n~g atáy n~g inahíng manóc, at n~g salsa na lalò pang cabalitaang tinatawag na «salsa n~g mga monja», na guinágawâ n~g matalinong taga-paglutong babae n~g mga Virgen n~g Pan~ginoóng Dios.","We have asked several persons of great influence in the holy nunnery of St. Clara, but no one has been willing to tell us a single word, not even the talkative devotees who receive the famous fried chicken-livers and the even more famous sauce known as that ""of the nuns,"" prepared by the intelligent cook of the Virgins of the Lord.",Hard,0.8706,Noli Me Tangere
"Inilalaganap namin ang layong santong lahi sa boong daigdig, sa lahát n~g mga suloc, sa mga ciudad, sa mga bayan at hindî namin tinitin~gî ang maputi sa maitim""--(piniguil n~g Alcalde ang canyáng paghin~ga)--""sa pagtitiis n~g hindî pagcain at n~g mga pagpapacahirap, santong lahi mo na sa pananampalataya at sa religióng may taglay na sandata""--(¡Ah! ang hinin~gá n~g Alcalde)--""na pinapananatili ang sangcataohan sa matatag na calagayan at pumipiguil na mabulíd sa malalim na ban~gin n~g capahamacán!""","We propagate thy holy race in the whole world, in the remote places, in the cities, in the towns, without distinction between black and white"" (the alcalde held his breath), ""suffering hardships and martyrdoms, thy holy race of faith and religion militant"" (""Ah!"" breathed the alcalde) ""which holds the world in balance and prevents it from falling into the depths of perdition.""",Hard,0.8703,Noli Me Tangere
"Pero _quod eventum, eventum; Gracias agamus Domino Deo quia non in Marianis Insulis es, camoles seminando_[271].","But _quod_ _eventum, eventum; gratias agamus Domino Deo quia non in Marianis Insulis es, camotes seminando_."" [167]",Medium,0.8702,Noli Me Tangere
"¿Anó pa ang dî mababalìng batás ng̃ kalikasán, batás ng̃ pagtutunggalî na ang mahinà'y sápilitáng madadaíg upang huwag mamalagì ang lipìng masamâ at ang mg̃a lumikhâ ay pumauróng?","What else is the inexorable law of Nature, the law of strife in which the weak has to succumb so that the vitiated species be not perpetuated and creation thus travel backwards?",Hard,0.8697,El Filibusterismo
"Oo, mg̃a ginoo, itó'y kailang̃an nang dî lamang ng̃ ikabubuti ng̃ kapulùang itó, hindî lamang ng̃ ikabubuti ng̃ boong sangkatauhan, kundî ikabuti ng̃ pang̃alan ng̃ España, ng̃ karang̃alan ng̃ pang̃alang kastilà, ng̃ karang̃alan ng̃ bayang ibero, sapagkâ't sa ibabaw ng̃ lahát ng̃ bagay ay mg̃a kastilà tayo at ang bandilà ng̃ España"" ibp.","Yes, gentlemen, this is demanded not only for the welfare of these islands, not only for the welfare of all mankind, but also in the name of Spain, the honor of the Spanish name, the prestige of the Iberian people, because before all things else Spaniards we are, and the flag of Spain,"" etc.",Hard,0.8696,El Filibusterismo
"Nang macaraan ang iláng minuto, sa isá sa mga dáan sa báyan, ay nacárinig n~g mga voces at tumunóg ang dalawáng putóc; n~guni't síno ma'y waláng natigatig, at mulíng tumahimic na lahát.","A few moments later voices were heard on one of the streets of the town, two shots resounded, but no one seemed to be alarmed and silence again reigned.",Hard,0.8694,Noli Me Tangere
"Nang mákitang bukás na bukás ang lahát ng̃ durung̃awan upang bayaang makapasok ang dalisay na hang̃in sa dagat at ang aling̃awng̃áw ng̃ kaniyáng walâng patíd na hinagpís, ay walâng makapagsasabi sa Pilipinas na doo'y may isáng may karamdaman, sapagkâ't nákaugaliang ilapat ang mg̃a bintanà at sampû ng̃ lalòng maliliit na puang kailan pa ma't may isáng sinisipón ó kayâ'y nagdáramdám ng̃ muntîng sakít ng̃ ulo na walâng kakabúkabuluhán.","Upon seeing the windows opened wide to admit freely the healthful sea-breeze and the echoes of its eternal lament, no one in the Philippines would have said that a sick person was to be found there, since it is the custom to close all the windows and stop up all the cracks just as soon as any one catches a cold or gets an insignificant headache.",Hard,0.8687,El Filibusterismo
At iyan ang dápat nating gawín.,"""And that's what we ought to be doing.",Easy,0.8685,El Filibusterismo
Malalakíng mga bomba at sadyáng malalakíng mga cohatón ang ibig natin.,We want big bombs and immense rockets.,Medium,0.8684,Noli Me Tangere
"Sa San Juan de Letrán, Padre--ang sagot ni Basilio.","""In San Juan de Letran, Padre,"" answered Basilio.",Medium,0.8683,El Filibusterismo
"¡Ehém, ehém, ehhhém!","""Ahem, ahem, a-h-hem!""",Easy,0.8682,El Filibusterismo
Nagtátaca ang alférez na tiningnán ang sargento.,The alferez gazed at the sergeant in surprise.,Easy,0.8682,Noli Me Tangere
"Isinalaysáy ni Simoun ang kaniyáng kasakitsakit na kabuhayan, ang pangyayaring may labíng tatlóng taón na, nang magbalík siyang galing sa Europa, na punô ng̃ pag-asa at magagandáng pang̃arap, ay umuwî siya upang mákasal sa isáng binibining iniírog, at laán sa paggawâ ng̃ kabutihan at magpatawad sa lahát nang gumagawâ sa kaniyá ng̃ masamâ, bayaan lamang siyang mabuhay nang mapayapà.","Simoun related his sorrowful story: how, thirteen years before, he had returned from Europe filled with hopes and smiling illusions, having come back to marry a girl whom he loved, disposed to do good and forgive all who had wronged him, just so they would let him live in peace.",Hard,0.8681,El Filibusterismo
"Si P. Camorra, na sa púlpito sa Tiani ay nagpakilalang madalás ng̃ mg̃a parusa at paghíhirap sa inpierno samantalang pinagtátawanán sa sarili ang mg̃a matáng sindák ng̃ mg̃a makasalanan, ay nagtakíp ng̃ ilóng; at si P. Salvi, ang tunay na si P. Salvi na sa araw ng̃ kapistahan ng̃ mg̃a patáy ay gumawâ ng̃ giniginí ng̃ mg̃a kaluluwá sa Purgatorio na may apóy at mg̃a larawang nang̃ang̃aninag na naiilawan sa dakong likurán, na may lámparang ang ilaw ay aguardiente, mg̃a putolputol na halimayas, sa malaking dambanà ng̃ simbahan ng̃ isáng arrabal upang makakuha ng̃ mg̃a pamisa at limós, ang payát at walâng imík na si P. Salvi ay pumigil sa kaniyáng paghing̃á at tiningnán ng̃ ting̃íng may pang̃ang̃anib ang isáng dakót na abóng iyón.","Padre Camorra, who had so often depicted from the pulpit of Tiani the torments and sufferings of hell, while he laughed in his sleeves at the terrified looks of the sinners, held his nose, and Padre Salvi - the same Padre Salvi who had on All Souls' Day prepared a phantasmagoria of the souls in purgatory with flames and transparencies illuminated with alcohol lamps and covered with tinsel, on the high altar of the church in a suburb, in order to get alms and orders for masses - the lean and taciturn Padre Salvi held his breath and gazed suspiciously at that handful of ashes.",Hard,0.8675,El Filibusterismo
